modelo,meses_disponibles,nombre_variable,sector,frecuencia_seleccion_pct,impacto_absoluto_medio_todos_pronosticos_pp,impacto_medio_firmado_pp,reduccion_error_media_pp,proporcion_veces_ayudo_pct,periodo_impacto_maximo,ranking_importancia,modelo_etiqueta
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 22.11 Fabricação de pneumáticos e de câmaras-de-ar | PIMPF - Número-índice (2022=100),real,2.5316455696202533,0.0007905691835947,-0.0132201779841282,-0.0132201779841282,50.0,2022-T4,72.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,ipp: indice,real,1.2658227848101269,0.0007695215822487,0.0607922049976474,0.0607922049976474,100.0,2022-T2,73.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMS total | Brasil | Índice de receita nominal de serviços | PMS - Número-índice (2022=100),real,2.5316455696202533,0.000757352328419,0.0299154169725528,-0.0299154169725528,0.0,2026-T2,74.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,balanza pagos: activos reserva millones usd,externo,6.329113924050633,0.0007369208458223,-0.0082755399682908,0.0082761914652763,80.0,2013-T4,75.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,selic tasas: selic efectiva media pct diario,real,1.2658227848101269,0.00073002021235,0.0576715967756558,0.0576715967756558,100.0,2008-T2,76.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,ipca: variacion mensual pct,real,13.924050632911392,0.0006983821161887,0.0005017241199192,0.0018449978435804,45.45454545454545,2010-T1,77.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 20.14 Fabricação de gases industriais | PIMPF - Número-índice (2022=100),real,12.658227848101266,0.0006121699574514,-0.002497601157166,0.0023056942734344,70.0,2021-T2,78.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF categorias economicas | Brasil | 270 Peças e acessórios para bens de capital | PIMPF - Número-índice (2022=100),real,5.063291139240507,0.0006019660192587,-0.0008881168989169,0.0027143775079518,75.0,2013-T3,79.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF categorias economicas | Brasil | 2 Bens intermediários | PIMPF - Número-índice (2022=100),real,2.5316455696202533,0.0005807910515817,-0.0229412465374797,0.0229412465374797,100.0,2021-T2,80.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMS segmentos | Brasil | Índice de receita nominal de serviços | 6. Serviços audiovisuais, de edição e agências de notícias | PMS - Número-índice (2022=100)",real,6.329113924050633,0.000538891896501,0.0020200920698924,0.0085144919647173,100.0,2025-T1,81.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,comex stat: exportaciones totales fob usd,externo,5.063291139240507,0.0005187756767278,0.0089447911297886,0.0102458196153757,100.0,2009-T2,82.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Geração de energia elétrica - hidráulica: quantidade,real,6.329113924050633,0.0005008252113341,0.0001247720144978,0.0079130383390796,80.0,2007-T4,83.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMS actividades | Brasil | Índice de receita nominal de serviços | 4. Transportes, serviços auxiliares aos transportes e correio | PMS - Número-índice (2022=100)",real,1.2658227848101269,0.0004958851571325,0.0391749274134731,0.0391749274134731,100.0,2025-T1,84.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMS actividades | Brasil | Índice de volume de serviços | 3.2 Serviços administrativos e complementares | PMS - Número-índice (2022=100),real,2.5316455696202533,0.0004712390414139,-0.0132290853137797,-0.0186139421358526,0.0,2023-T1,85.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMS segmentos | Brasil | Índice de receita nominal de serviços | Total | PMS - Número-índice (2022=100),real,1.2658227848101269,0.0004638928209327,0.0366475328536886,-0.0366475328536886,0.0,2026-T2,86.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 26.1 Fabricação de componentes eletrônicos | PIMPF - Número-índice (2022=100),real,3.79746835443038,0.0004501534217324,0.0016918093155489,0.0083465018176561,66.66666666666666,2022-T1,87.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 27.59 Fabricação de aparelhos eletrodomésticos não especificados anteriormente | PIMPF - Número-índice (2022=100),real,3.79746835443038,0.0004449382520958,-0.006674282814846,-0.0057421866777551,66.66666666666666,2012-T2,88.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMC comercio ampliado por actividad | Brasil | Índice de receita nominal de vendas no comércio varejista ampliado | Veículos, motocicletas, partes e peças | PMC - Número-índice (2022=100)",real,2.5316455696202533,0.0004443032204124,-0.0175499772062907,-0.0175499772062907,0.0,2009-T4,89.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMC comercio ampliado por actividad | Brasil | Índice de receita nominal de vendas no comércio varejista ampliado | Tecidos, vestuário e calçados | PMC - Número-índice (2022=100)",real,1.2658227848101269,0.0004439550882,0.0350724519678071,-0.0350724519678071,0.0,2021-T1,90.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Licenciamento Importados - Autoveículos - montados - qde.,real,6.329113924050633,0.0004282934677751,-0.0025637431624059,-0.0029096466162376,40.0,2009-T2,91.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,base monetaria: valor,financiero,5.063291139240507,0.0004158586900542,-0.0072902814239237,-0.0072902814239237,25.0,2009-T4,92.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF grupos y clases | Brasil | 17.2 Fabricação de papel, cartolina e papel-cartão | PIMPF - Número-índice (2022=100)",real,24.050632911392405,0.0004053018680816,9.321948979705234e-05,0.0004459104327488,47.368421052631575,2022-T1,93.0,DFM · LASSO sin AR1
